 user_loc,fr_loc,scaled_sci
AG,NE,6591
AG,NG,7632
AG,NI,1418
AG,NL,5929
AG,NO,2062
AG,NP,491
AG,NZ,4324
AG,OM,1720
AG,PA,5837
AG,PE,750
AG,PF,7917
AG,PG,1367
AG,PH,1822
AG,PK,841
AG,PL,502
AG,PR,16901
AG,PT,1516
AG,PY,1033
AG,QA,3430
AG,RE,2423
AG,RO,816
AG,RS,2630
AG,RW,3038
AG,SA,1041
AG,SB,2786
AG,SC,35024
AG,SE,2763
AG,SG,1251
AG,SI,1933
AG,SK,554
AG,SL,19845
AG,SN,5537
AG,SR,575311
AG,ST,10786
AG,SV,1009
AG,SZ,3938
AG,TD,1008
AG,TG,5482
AG,TH,196
AG,TJ,359
AG,TL,766
AG,TN,683
AG,TO,5288
AG,TR,703
AG,TT,770187
AG,TW,418
AG,TZ,3294
AG,UA,490
AG,UG,6566
AG,US,56333
AG,UY,1580
AG,UZ,205
AG,VC,11065040
AG,VN,190
AG,VU,3942
AG,WS,3001
AG,XK,556
AG,YT,12445
AG,ZA,2955
AG,ZM,7549
AG,ZW,4962
AL,AE,2101
AL,AG,641
AL,AL,14884656
AL,AM,896
AL,AO,689
AL,AR,574
AL,AT,19997
AL,AU,2268
AL,AW,910
AL,AZ,1300
AL,BA,15027
AL,BB,704
AL,BD,430
AL,BE,20975
AL,BF,572
AL,BG,7200
AL,BH,1609
AL,BI,481
AL,BJ,2996
AL,BN,401
AL,BO,353
AL,BR,551
AL,BS,568
AL,BT,239
AL,BW,534
AL,BY,2763
AL,BZ,757
AL,CA,5606
AL,CD,446
AL,CF,695
AL,CG,767
AL,CH,36294
AL,CI,1289
AL,CL,365
AL,CM,809
AL,CO,467
AL,CR,607
AL,CV,733
AL,CW,613
AL,CY,14261
AL,CZ,2997
AL,DE,36557
AL,DJ,518
AL,DK,3446
AL,DO,1091
AL,DZ,822
AL,EC,440
AL,EE,2051
AL,EG,779
AL,ES,3427
AL,ET,404
AL,FI,5104
AL,FJ,663
AL,FM,113
AL,FR,9331
AL,GA,573
AL,GB,24637
AL,GD,709
AL,GE,2358
AL,GF,432
AL,GH,1471
AL,GM,2748
AL,GN,722
AL,GP,506
AL,GQ,1607
AL,GR,435108
AL,GT,309
AL,GU,310
AL,GW,524
AL,GY,638
AL,HK,433
AL,HN,468
AL,HR,22880
AL,HT,472
AL,HU,4449
AL,ID,282
AL,IE,7175
AL,IM,1184
AL,IN,182
AL,IS,14835
AL,IT,92964
AL,JE,1196
AL,JM,998
AL,JO,770
AL,JP,239
AL,KE,1184
AL,KG,589
AL,KH,187
AL,KI,172
AL,KM,231
AL,KR,312
AL,KW,1194
AL,KY,2084
AL,KZ,1713
AL,LA,243
AL,LB,1100
AL,LC,1196
AL,LK,407
AL,LR,1236
AL,LS,282
AL,LT,1763
AL,LU,33111
AL,LV,2110
AL,LY,688
AL,MA,1248
AL,MD,7923
AL,ME,211907
AL,MG,861
AL,MK,301734
AL,ML,982
AL,MM,110
AL,MN,782
AL,MO,499
AL,MQ,357
AL,MR,507
AL,MT,94354
AL,MU,837
AL,MV,898
AL,MW,299
AL,MX,349
AL,MY,377
AL,MZ,490
AL,NA,774
AL,NC,277
AL,NE,511
AL,NG,967
AL,NI,442
AL,NL,4516
AL,NO,8590
AL,NP,206
AL,NZ,946
AL,OM,1010
AL,PA,524
AL,PE,357
AL,PF,255
AL,PG,264
AL,PH,676
AL,PK,734
AL,PL,1602
AL,PR,415
AL,PT,1746
AL,PY,841
AL,QA,2867
AL,RE,288
AL,RO,6503
AL,RS,26551
AL,RW,592
AL,SA,944
AL,SB,223
AL,SC,1023
AL,SE,15332
AL,SG,622
AL,SI,16437
AL,SK,4095
AL,SL,1373
AL,SN,775
AL,SR,524
AL,ST,545
AL,SV,425
AL,SZ,460
AL,TD,648
AL,TG,1454
AL,TH,224
AL,TJ,672
AL,TL,385
AL,TN,1647
AL,TO,379
AL,TR,3216
AL,TT,726
AL,TW,146
AL,TZ,624
AL,UA,1489
AL,UG,1491
AL,US,4589
AL,UY,593
AL,UZ,555
AL,VC,549
AL,VN,158
AL,VU,167
AL,WS,216
AL,XK,1010020
AL,YT,215
AL,ZA,331
AL,ZM,724
AL,ZW,369
AM,AE,3580
AM,AG,360
AM,AL,896
AM,AM,15755579
AM,AO,298
AM,AR,631
AM,AT,6442
AM,AU,1277
AM,AW,269
AM,AZ,158036
AM,BA,701
AM,BB,278
AM,BD,188
AM,BE,9893
AM,BF,372
AM,BG,4159
AM,BH,857
AM,BI,192
AM,BJ,884
AM,BN,192
AM,BO,129
AM,BR,175
AM,BS,410
AM,BT,602
AM,BW,176
AM,BY,18019
AM,BZ,417
AM,CA,3660
AM,CD,256
AM,CF,402
AM,CG,719
AM,CH,4228
AM,CI,561
AM,CL,177
AM,CM,341
AM,CO,172
AM,CR,245
AM,CV,202
AM,CW,359
AM,CY,12136
AM,CZ,3903
AM,DE,7085
AM,DJ,194
AM,DK,1907
AM,DO,280
AM,DZ,492
AM,EC,174
AM,EE,8063
AM,EG,491
AM,ES,3258
AM,ET,187
AM,FI,1317
AM,FJ,148
AM,FM,319
AM,FR,7055
AM,GA,221
AM,GB,1011
AM,GD,354
AM,GE,73449
AM,GF,246
AM,GH,932
AM,GM,1689
AM,GN,378
AM,GP,503
AM,GQ,768
AM,GR,9406
AM,GT,83
AM,GU,259
AM,GW,203
AM,GY,177
AM,HK,310
AM,HN,98
AM,HR,1282
AM,HT,303
AM,HU,844
AM,ID,82
AM,IE,989
AM,IM,231
AM,IN,288
AM,IS,1256
AM,IT,1560
AM,JE,1052
AM,JM,240
AM,JO,2038
AM,JP,267
AM,KE,282
AM,KG,4071
AM,KH,101
AM,KI,116
AM,KM,139
AM,KR,312
AM,KW,3468
AM,KY,1286
AM,KZ,8515
AM,LA,96
AM,LB,30863
AM,LC,223
AM,LK,484
AM,LR,735
AM,LS,74
AM,LT,4315
AM,LU,6813
AM,LV,7941
AM,LY,209
AM,MA,506
AM,MD,5765
AM,ME,3237
AM,MG,248
AM,MK,1884
AM,ML,237
AM,MM,56
AM,MN,510
AM,MO,223
AM,MQ,149
AM,MR,173
AM,MT,4509
AM,MU,329
AM,MV,1103
AM,MW,150
AM,MX,149
AM,MY,145
AM,MZ,192
AM,NA,494
AM,NC,188
AM,NE,221
AM,NG,447
AM,NI,125
AM,NL,5433
AM,NO,1302
AM,NP,122
AM,NZ,381
AM,OM,798
AM,PA,203
AM,PE,160
AM,PF,898
AM,PG,221
AM,PH,210
AM,PK,338
AM,PL,2460
AM,PR,269
AM,PT,959
AM,PY,156
AM,QA,1704
AM,RE,144
AM,RO,1134
AM,RS,1712
AM,RW,413
AM,SA,377
AM,SB,243
AM,SC,612
AM,SE,5449
AM,SG,420
AM,SI,1103
AM,SK,1209
AM,SL,784
AM,SN,360
AM,SR,210
AM,ST,132
AM,SV,102
AM,SZ,165
AM,TD,144
AM,TG,495
AM,TH,119
AM,TJ,8378
AM,TL,127
AM,TN,628
AM,TO,208
AM,TR,1370
AM,TT,223
AM,TW,124
AM,TZ,282
AM,UA,14340
AM,UG,467
AM,US,3644
AM,UY,975
AM,UZ,6464
AM,VC,375
AM,VN,85
AM,VU,167
AM,WS,85
AM,XK,776
AM,YT,97
AM,ZA,113
AM,ZM,252
AM,ZW,182
AO,AE,2326
AO,AG,4539
AO,AL,689
AO,AM,298
AO,AO,16815996
AO,AR,1235
AO,AT,639
AO,AU,291
AO,AW,1214
AO,AZ,910
AO,BA,393
AO,BB,2033
AO,BD,1479
AO,BE,5111
AO,BF,19899
AO,BG,664
AO,BH,1510
AO,BI,18830
AO,BJ,27847
AO,BN,555
AO,BO,1488
AO,BR,12386
AO,BS,2724
AO,BT,380
AO,BW,25727
AO,BY,1052
AO,BZ,1967
AO,CA,1403
AO,CD,221090
AO,CF,19593
AO,CG,141128
AO,CH,4437
AO,CI,32817
AO,CL,867
AO,CM,19607
AO,CO,1878
AO,CR,1302
AO,CV,317664
AO,CW,1826
AO,CY,3385
AO,CZ,339
AO,DE,1434
AO,DJ,4317
AO,DK,449
AO,DO,6804
AO,DZ,1715
AO,EC,1414
AO,EE,204
AO,EG,1258
AO,ES,1464
AO,ET,3278
AO,FI,798
AO,FJ,1493
AO,FM,386
AO,FR,6062
AO,GA,37827
AO,GB,3015
AO,GD,5182
AO,GE,497
AO,GF,8289
AO,GH,14043
AO,GM,35052
AO,GN,86428
AO,GP,3178
AO,GQ,40187
AO,GR,3534
AO,GT,1044
AO,GU,397
AO,GW,343468
AO,GY,4893
AO,HK,236
AO,HN,1887
AO,HR,368
AO,HT,15809
AO,HU,526
AO,ID,755
AO,IE,1661
AO,IM,223
AO,IN,807
AO,IS,1037
AO,IT,1095
AO,JE,2432
AO,JM,8265
AO,JO,896
AO,JP,208
AO,KE,18738
AO,KG,304
AO,KH,340
AO,KI,2649
AO,KM,5918
AO,KR,242
AO,KW,1190
AO,KY,2307
AO,KZ,506
AO,LA,258
AO,LB,5069
AO,LC,4044
AO,LK,1176
AO,LR,31446
AO,LS,13237
AO,LT,238
AO,LU,11373
AO,LV,315
AO,LY,1579
AO,MA,2476
AO,MD,341
AO,ME,631
AO,MG,14281
AO,MK,611
AO,ML,30127
AO,MM,189
AO,MN,262
AO,MO,1201
AO,MQ,2223
AO,MR,55699
AO,MT,1131
AO,MU,1931
AO,MV,1310
AO,MW,13172
AO,MX,1020
AO,MY,429
AO,MZ,779423
AO,NA,567348
AO,NC,537
AO,NE,12845
AO,NG,6228
AO,NI,2399
AO,NL,2039
AO,NO,943
AO,NP,417
AO,NZ,235
AO,OM,1755
AO,PA,2040
AO,PE,1120
AO,PF,281
AO,PG,9110
AO,PH,1158
AO,PK,1826
AO,PL,361
AO,PR,757
AO,PT,105487
AO,PY,3363
AO,QA,2063
AO,RE,1396
AO,RO,849
AO,RS,692
AO,RW,15856
AO,SA,1658
AO,SB,3526
AO,SC,3412
AO,SE,1103
AO,SG,361
AO,SI,349
AO,SK,360
AO,SL,31486
AO,SN,22513
AO,SR,5702
AO,ST,1176889
AO,SV,1036
AO,SZ,24929
AO,TD,11978
AO,TG,22735
AO,TH,163
AO,TJ,821
AO,TL,3649
AO,TN,2106
AO,TO,942
AO,TR,1414
AO,TT,2834
AO,TW,144
AO,TZ,20535
AO,UA,618
AO,UG,17318
AO,US,941
AO,UY,1364
AO,UZ,493
AO,VC,3876
AO,VN,733
AO,VU,1795
AO,WS,889
AO,XK,641
AO,YT,5804
AO,ZA,23587
AO,ZM,28759
AO,ZW,11986
AR,AE,737
AR,AG,836
AR,AL,574
AR,AM,631
AR,AO,1235
AR,AR,1863542
AR,AT,1270
AR,AU,1624
AR,AW,6051
AR,AZ,234
AR,BA,442
AR,BB,598
AR,BD,213
AR,BE,1192
AR,BF,472
AR,BG,616
AR,BH,495
AR,BI,312
AR,BJ,1953
AR,BN,304
AR,BO,35162
AR,BR,3259
AR,BS,826
AR,BT,185
AR,BW,256
AR,BY,705
AR,BZ,1858
AR,CA,961
AR,CD,430
AR,CF,422
AR,CG,617
AR,CH,3379
AR,CI,906
AR,CL,18643
AR,CM,673
AR,CO,8548
AR,CR,7421
AR,CV,1027
AR,CW,3060
AR,CY,1130
AR,CZ,514
AR,DE,1442
AR,DJ,257
AR,DK,2096
AR,DO,8529
AR,DZ,1013
AR,EC,7662
AR,EE,532
AR,EG,590
AR,ES,15275
AR,ET,200
AR,FI,625
AR,FJ,211
AR,FM,97
AR,FR,1320
AR,GA,529
AR,GB,889
AR,GD,867
AR,GE,372
AR,GF,1519
AR,GH,1051
AR,GM,2655
AR,GN,470
AR,GP,956
AR,GQ,2884
AR,GR,1098
AR,GT,4826
AR,GU,283
AR,GW,776
AR,GY,1143
AR,HK,346
AR,HN,5543
AR,HR,1135
AR,HT,2543
AR,HU,579
AR,ID,191
AR,IE,1732
AR,IM,725
AR,IN,144
AR,IS,1487
AR,IT,4058
AR,JE,686
AR,JM,878
AR,JO,510
AR,JP,417
AR,KE,428
AR,KG,129
AR,KH,109
AR,KI,244
AR,KM,166
AR,KR,343
AR,KW,435
AR,KY,2487
AR,KZ,312
AR,LA,104
AR,LB,789
AR,LC,628
AR,LK,346
AR,LR,795
AR,LS,161
AR,LT,480
AR,LU,2136
AR,LV,531
AR,LY,299
AR,MA,2176
AR,MD,282
AR,ME,1366
AR,MG,539
AR,MK,672
AR,ML,500
AR,MM,81
AR,MN,180
AR,MO,294
AR,MQ,625
AR,MR,407
AR,MT,2688
AR,MU,466
AR,MV,472
AR,MW,189
AR,MX,5546
AR,MY,218
AR,MZ,797
AR,NA,368
AR,NC,383
AR,NE,375
AR,NG,612
AR,NI,6314
AR,NL,1217
AR,NO,802
AR,NP,131
AR,NZ,2728
AR,OM,365
AR,PA,6770
AR,PE,11511
AR,PF,556
AR,PG,217
AR,PH,478
AR,PK,490
AR,PL,369
AR,PR,4145
AR,PT,2462
AR,PY,191952
AR,QA,543
AR,RE,328
AR,RO,631
AR,RS,935
AR,RW,347
AR,SA,368
AR,SB,222
AR,SC,439
AR,SE,1058
AR,SG,376
AR,SI,1258
AR,SK,439
AR,SL,907
AR,SN,1566
AR,SR,799
AR,ST,1115
AR,SV,5133
AR,SZ,227
AR,TD,236
AR,TG,832
AR,TH,123
AR,TJ,233
AR,TL,364
AR,TN,1708
AR,TO,221
AR,TR,408
AR,TT,1536
AR,TW,233
AR,TZ,338
AR,UA,427
AR,UG,685
AR,US,1488
AR,UY,62303
AR,UZ,158
AR,VC,475
AR,VN,247
AR,VU,100
AR,WS,184
AR,XK,369
AR,YT,198
AR,ZA,250
AR,ZM,369
AR,ZW,192
AT,AE,4558
AT,AG,3522
AT,AL,19997
AT,AM,6442
AT,AO,639
AT,AR,1270
AT,AT,8174253
AT,AU,5680
AT,AW,3662
AT,AZ,2578
AT,BA,312840
AT,BB,2120
AT,BD,542
AT,BE,13983
AT,BF,955
AT,BG,40713
AT,BH,2178
AT,BI,679
AT,BJ,2766
AT,BN,867
AT,BO,670
AT,BR,959
AT,BS,2219
AT,BT,1157
AT,BW,579
AT,BY,4669
AT,BZ,1212
AT,CA,4474
AT,CD,911
AT,CF,776
AT,CG,1282
AT,CH,103987
AT,CI,898
AT,CL,1390
AT,CM,1447
AT,CO,932
AT,CR,2275
AT,CV,3928
AT,CW,3786
AT,CY,15231
AT,CZ,20745
AT,DE,94662
AT,DJ,6750
AT,DK,13630
AT,DO,4096
AT,DZ,776
AT,EC,830
AT,EE,8845
AT,EG,2370
AT,ES,8224
AT,ET,1988
AT,FI,10308
AT,FJ,713
AT,FM,469
AT,FR,6431
AT,GA,938
AT,GB,9074
AT,GD,2729
AT,GE,7893
AT,GF,1075
AT,GH,2239
AT,GM,16002
AT,GN,1525
AT,GP,1563
AT,GQ,1963
AT,GR,17363
AT,GT,578
AT,GU,1275
AT,GW,3802
AT,GY,347
AT,HK,2169
AT,HN,411
AT,HR,120554
AT,HT,335
AT,HU,138438
AT,ID,344
AT,IE,11662
AT,IM,6688
AT,IN,312
AT,IS,25700
AT,IT,17629
AT,JE,8251
AT,JM,2005
AT,JO,3331
AT,JP,1518
AT,KE,2119
AT,KG,1776
AT,KH,488
AT,KI,214
AT,KM,147
AT,KR,1145
AT,KW,2352
AT,KY,11591
AT,KZ,1336
AT,LA,373
AT,LB,8423
AT,LC,2326
AT,LK,1216
AT,LR,1204
AT,LS,307
AT,LT,6246
AT,LU,53894
AT,LV,10714
AT,LY,1107
AT,MA,1330
AT,MD,14191
AT,ME,65760
AT,MG,723
AT,MK,126223
AT,ML,815
AT,MM,150
AT,MN,6279
AT,MO,1839
AT,MQ,1278
AT,MR,496
AT,MT,24663
AT,MU,2342
AT,MV,3329
AT,MW,405
AT,MX,692
AT,MY,634
AT,MZ,448
AT,NA,3420
AT,NC,1151
AT,NE,637
AT,NG,1853
