user_loc,fr_loc,scaled_sci
United Arab Emirates,Saint Vincent and the Grenadines,2606
United Arab Emirates,Viet Nam,1440
United Arab Emirates,Vanuatu,1045
United Arab Emirates,Samoa,1496
United Arab Emirates,Kosovo,1863
United Arab Emirates,Mayotte,5184
United Arab Emirates,South Africa,6344
United Arab Emirates,Zambia,4398
United Arab Emirates,Zimbabwe,20620
Antigua and Barbuda,United Arab Emirates,5488
Antigua and Barbuda,Antigua and Barbuda,856956149
Antigua and Barbuda,Albania,641
Antigua and Barbuda,Armenia,360
Antigua and Barbuda,Angola,4539
Antigua and Barbuda,Argentina,836
Antigua and Barbuda,Austria,3522
Antigua and Barbuda,Australia,3514
Antigua and Barbuda,Aruba,174684
Antigua and Barbuda,Azerbaijan,505
Antigua and Barbuda,Bosnia and Herzegovina,508
Antigua and Barbuda,Barbados,2551859
Antigua and Barbuda,Bangladesh,470
Antigua and Barbuda,Belgium,2166
Antigua and Barbuda,Burkina Faso,1904
Antigua and Barbuda,Bulgaria,1707
Antigua and Barbuda,Bahrain,3419
Antigua and Barbuda,Burundi,1678
Antigua and Barbuda,Benin,4947
Antigua and Barbuda,Brunei Darussalam,1085
Antigua and Barbuda,"Bolivia, Plurinational State of",599
Antigua and Barbuda,Brazil,712
Antigua and Barbuda,Bahamas,828698
Antigua and Barbuda,Bhutan,644
Antigua and Barbuda,Botswana,8081
Antigua and Barbuda,Belarus,425
Antigua and Barbuda,Belize,222970
Antigua and Barbuda,Canada,66793
Antigua and Barbuda,"Congo, The Democratic Republic of the",2546
Antigua and Barbuda,Central African Republic,2028
Antigua and Barbuda,Congo,5698
Antigua and Barbuda,Switzerland,6927
Antigua and Barbuda,Côte d'Ivoire,3159
Antigua and Barbuda,Chile,1742
Antigua and Barbuda,Cameroon,4742
Antigua and Barbuda,Colombia,1440
Antigua and Barbuda,Costa Rica,3634
Antigua and Barbuda,Cabo Verde,7695
Antigua and Barbuda,Curaçao,264541
Antigua and Barbuda,Cyprus,7144
Antigua and Barbuda,Czechia,616
Antigua and Barbuda,Germany,2335
Antigua and Barbuda,Djibouti,2830
Antigua and Barbuda,Denmark,2359
Antigua and Barbuda,Dominican Republic,196877
Antigua and Barbuda,Algeria,532
Antigua and Barbuda,Ecuador,1233
Antigua and Barbuda,Estonia,5921
Antigua and Barbuda,Egypt,751
Antigua and Barbuda,Spain,4581
Antigua and Barbuda,Ethiopia,1186
Antigua and Barbuda,Finland,1271
Antigua and Barbuda,Fiji,9244
Antigua and Barbuda,"Micronesia, Federated States of",3267
Antigua and Barbuda,France,3535
Antigua and Barbuda,Gabon,6912
Antigua and Barbuda,United Kingdom,40165
Antigua and Barbuda,Grenada,3622283
Antigua and Barbuda,Georgia,1379
Antigua and Barbuda,French Guiana,235943
Antigua and Barbuda,Ghana,12654
Antigua and Barbuda,Gambia,11691
Antigua and Barbuda,Guinea,2668
