Origin	Destination	Migration #	state_to_state_sci
California	District of Columbia 	4590	3079.293103448276
California	Florida	19149	1096.8710756562018
California	Georgia	11229	879.3529603122967
California	Hawaii	8094	7719.823275862069
California	Idaho	2646	7017.668887147336
California	Illinois	21982	900.9707572684248
California	Indiana	4531	835.0069340329835
California	Iowa	4250	1077.0870776732845
California	Kansas	3207	1413.3036124794746
California	Kentucky	2308	738.5341954022989
California	Louisiana	4522	952.6901939655172
California	Maine	1003	1293.4709051724135
California	Maryland	10107	1069.2528735632184
California	Massachusetts	10101	1535.3275862068965
California	Michigan	12054	968.339011217283
California	Minnesota	2705	1075.3319460959176
California	Mississippi	3133	783.955424726661
California	Missouri	6400	1235.4125937031486
California	Montana	656	4794.146859605911
California	Nebraska	2606	1773.626251390434
California	Nevada	22218	30854.2738336714
California	New Hampshire	1202	1345.7758620689656
California	New Jersey	12458	952.4433497536944
California	New Mexico	4784	2696.141065830721
California	New York	35062	1058.0828698553948
California	North Carolina	8924	1047.6422413793102
California	North Dakota	10	1876.522446324008
California	Ohio	7434	745.1042319749216
California	Oklahoma	2541	1874.3656515897896
California	Oregon	22162	11344.13266283525
California	Pennsylvania	8730	794.975038600103
California	Rhode Island	1050	1465.606896551724
California	South Carolina	5346	815.1064467766117
California	South Dakota	629	1662.771682340648
California	Tennessee	5343	1125.2662431941924
California	Texas	38732	1457.9735270160195
California	Utah	10939	3959.6694411414983
California	Vermont	1012	1895.7179802955663
California	Virginia	15837	1023.0589836660616
California	Washington	32218	4531.393457117595
California	West Virginia	1125	667.4915360501568
California	Wisconsin	2634	1098.797653256705
California	Wyoming	1166	4225.004497751124
Colorado	Alabama	3745	1625.2691231343283
Colorado	Alaska	1452	10287.685344827589
Colorado	Arizona	12378	8088.522916666667
Colorado	Arkansas	1435	2842.407708333333
Colorado	California	26148	3745.295797413793
Colorado	Connecticut	1875	2001.892578125
Colorado	Delaware	120	1530.0833333333333
Colorado	District of Columbia 	1319	3930.578125
Colorado	Florida	12786	2376.242770522388
Colorado	Georgia	6522	1783.8773584905662
Colorado	Hawaii	3347	6050.515625
Colorado	Idaho	3480	7829.746803977273
Colorado	Illinois	8941	2568.593443627451
Colorado	Indiana	2612	2055.488960597826
Colorado	Iowa	3407	4522.559185606061
Colorado	Kansas	4387	52243.97038690476
Colorado	Kentucky	1015	1517.4170572916669
Colorado	Louisiana	2227	2516.64599609375
Colorado	Maine	628	2980.484375
Colorado	Maryland	3553	1862.0872395833333
Colorado	Massachusetts	2885	2870.527901785714
Colorado	Michigan	2922	2664.339796686747
Colorado	Minnesota	3830	3503.8547054597702
Colorado	Mississippi	590	1838.0344893292684
Colorado	Missouri	4858	4296.48695652174
Colorado	Montana	2294	11666.669363839286
Colorado	Nebraska	4126	47935.84257392473
Colorado	Nevada	1896	9106.48069852941
Colorado	New Hampshire	252	3286.434375
Colorado	New Jersey	1154	1441.9322916666667
Colorado	New Mexico	6030	25940.636837121212
Colorado	New York	6295	1983.1136592741937
Colorado	North Carolina	10351	2010.58328125
Colorado	North Dakota	582	6791.756485849057
Colorado	Ohio	6289	1715.87109375
Colorado	Oklahoma	2980	12531.120941558442
Colorado	Oregon	3690	4979.494791666667
Colorado	Pennsylvania	5109	1839.506063432836
Colorado	Rhode Island	0	2323.64375
Colorado	South Carolina	1813	1484.2286005434785
Colorado	South Dakota	1190	8648.574100378788
Colorado	Tennessee	4670	2127.079769736842
Colorado	Texas	32150	8584.205401082678
Colorado	Utah	4336	18509.71713362069
Colorado	Vermont	327	4599.737723214285
Colorado	Virginia	9719	1941.029957706767
Colorado	Washington	6010	4219.911858974359
Colorado	West Virginia	77	1745.928409090909
Colorado	Wisconsin	2698	2980.8912760416665
Colorado	Wyoming	2163	36142.457880434784
Connecticut	Alabama	788	954.0429104477612
Connecticut	Alaska	11	1944.021551724138
Connecticut	Arizona	657	1038.5166666666669
Connecticut	Arkansas	80	621.49
Connecticut	California	4972	1142.2995689655172
Connecticut	Colorado	591	2001.892578125
Connecticut	Delaware	32	2844.7916666666665
Connecticut	District of Columbia 	327	6456.5
Connecticut	Florida	7435	2950.361940298508
Connecticut	Georgia	2514	1403.2806603773586
Connecticut	Hawaii	725	1973.65625
Connecticut	Idaho	0	928.1079545454544
Connecticut	Illinois	1522	679.4252450980392
Connecticut	Indiana	446	741.8002717391305
Connecticut	Iowa	0	640.5795454545455
Connecticut	Kansas	363	676.3523809523809
Connecticut	Kentucky	397	705.4
Connecticut	Louisiana	357	667.93359375
Connecticut	Maine	601	10141.0390625
Connecticut	Maryland	1412	2255.125
Connecticut	Massachusetts	13428	20712.267857142855
Connecticut	Michigan	975	852.8373493975904
Connecticut	Minnesota	681	631.8275862068966
Connecticut	Mississippi	364	665.3536585365854
Connecticut	Missouri	110	657.6543478260869
Connecticut	Montana	101	966.1785714285714
Connecticut	Nebraska	252	570.6021505376344
Connecticut	Nevada	781	922.0441176470588
Connecticut	New Hampshire	878	12697.5875
Connecticut	New Jersey	5379	3950.952380952381
Connecticut	New Mexico	53	928.4318181818182
Connecticut	New York	28181	5686.020161290323
Connecticut	North Carolina	1220	2375.94
Connecticut	North Dakota	0	587.3231132075472
Connecticut	Ohio	414	875.0553977272727
Connecticut	Oklahoma	170	575.5227272727273
Connecticut	Oregon	0	909.5659722222222
Connecticut	Pennsylvania	4858	2118.5466417910447
Connecticut	Rhode Island	4299	40924.225000000006
Connecticut	South Carolina	1146	2598.2391304347825
Connecticut	South Dakota	0	635.7670454545455
Connecticut	Tennessee	2508	1121.8092105263158
Connecticut	Texas	2678	659.3887795275591
Connecticut	Utah	84	1188.646551724138
Connecticut	Vermont	557	13567.348214285714
Connecticut	Virginia	1947	2028.1174812030076
Connecticut	Washington	654	996.9423076923076
Connecticut	West Virginia	0	944.584090909091
Connecticut	Wisconsin	42	728.2621527777778
Connecticut	Wyoming	0	1301.4239130434785
Delaware	Alabama	12	1497.7860696517412
Delaware	Alaska	59	1396.4942528735637
Delaware	Arizona	476	1083.9333333333334
Delaware	Arkansas	372	1007.4577777777776
Delaware	California	516	906.3850574712644
Delaware	Colorado	212	1530.0833333333333
Delaware	Connecticut	369	2844.7916666666665
Delaware	District of Columbia 	430	11586.0
Delaware	Florida	1763	2931.8805970149256
Delaware	Georgia	249	2276.7819706498954
Delaware	Hawaii	0	1886.0833333333333
Delaware	Idaho	33	1024.030303030303
Delaware	Illinois	193	916.2679738562092
Delaware	Indiana	0	1003.394927536232
Delaware	Iowa	212	896.1851851851852
Delaware	Kansas	0	904.7873015873016
Delaware	Kentucky	0	1089.9972222222225
Delaware	Louisiana	0	1122.5520833333333
Delaware	Maine	174	2523.1458333333335
Delaware	Maryland	7829	117893.80555555556
Delaware	Massachusetts	465	2417.5238095238096
Delaware	Michigan	82	935.25702811245
Delaware	Minnesota	180	799.7279693486589
Delaware	Mississippi	70	1421.0975609756097
Delaware	Missouri	105	941.3884057971014
Delaware	Montana	235	988.2321428571428
Delaware	Nebraska	0	695.9784946236559
Delaware	Nevada	118	918.4901960784314
Delaware	New Hampshire	0	2126.2000000000003
Delaware	New Jersey	4041	18664.333333333332
Delaware	New Mexico	214	1168.141414141414
Delaware	New York	2552	3191.344086021505
Delaware	North Carolina	1563	3816.103333333334
Delaware	North Dakota	0	857.3207547169812
Delaware	Ohio	0	1391.4128787878788
Delaware	Oklahoma	0	919.7792207792209
Delaware	Oregon	0	802.7592592592592
Delaware	Pennsylvania	13350	9565.169154228855
Delaware	Rhode Island	187	2621.866666666667
Delaware	South Carolina	385	3417.3478260869565
Delaware	South Dakota	0	1127.3636363636365
Delaware	Tennessee	629	1536.680701754386
Delaware	Texas	400	893.2270341207349
Delaware	Utah	33	981.2873563218392
Delaware	Vermont	0	2568.714285714286
Delaware	Virginia	882	6948.025062656641
Delaware	Washington	274	861.8034188034188
Delaware	West Virginia	0	3554.0181818181823
Delaware	Wisconsin	342	705.7685185185186
Delaware	Wyoming	0	1164.9130434782608
District of Columbia 	Alabama	423	2478.432835820895
District of Columbia 	Alaska	0	2868.7241379310344
District of Columbia 	Arizona	242	1565.1333333333334
District of Columbia 	Arkansas	0	1425.68
District of Columbia 	California	2976	3079.293103448276
District of Columbia 	Colorado	376	3930.578125
District of Columbia 	Connecticut	760	6456.5
District of Columbia 	Delaware	111	11586.0
District of Columbia 	Florida	1856	3086.6716417910447
District of Columbia 	Georgia	1537	3049.0943396226417
District of Columbia 	Hawaii	53	4117.75
District of Columbia 	Idaho	0	1404.3181818181818
District of Columbia 	Illinois	770	1338.1274509803925
District of Columbia 	Indiana	1010	1361.0108695652175
District of Columbia 	Iowa	0	1339.4444444444443
District of Columbia 	Kansas	0	1157.247619047619
District of Columbia 	Kentucky	168	1160.5333333333333
District of Columbia 	Louisiana	1130	2284.703125
District of Columbia 	Maine	1190	4101.625
District of Columbia 	Maryland	12647	50123.333333333336
District of Columbia 	Massachusetts	2685	10001.142857142857
District of Columbia 	Michigan	1490	1728.3373493975903
District of Columbia 	Minnesota	394	1340.7586206896551
District of Columbia 	Mississippi	130	2730.9634146341464
District of Columbia 	Missouri	365	1195.9739130434782
District of Columbia 	Montana	22	1744.946428571429
District of Columbia 	Nebraska	58	1027.8709677419354
District of Columbia 	Nevada	56	1409.3529411764705
District of Columbia 	New Hampshire	14	4754.9
District of Columbia 	New Jersey	2071	6995.047619047619
District of Columbia 	New Mexico	48	1852.1515151515152
District of Columbia 	New York	4766	4427.096774193548
District of Columbia 	North Carolina	1423	6453.55
District of Columbia 	North Dakota	126	1069.433962264151
District of Columbia 	Ohio	1248	1765.465909090909
District of Columbia 	Oklahoma	476	1029.5974025974026
District of Columbia 	Oregon	794	1781.361111111111
District of Columbia 	Pennsylvania	3085	3868.0149253731342
District of Columbia 	Rhode Island	369	8001.0
District of Columbia 	South Carolina	514	6023.239130434783
District of Columbia 	South Dakota	0	1487.2272727272727
District of Columbia 	Tennessee	622	1684.494736842105
District of Columbia 	Texas	2631	1246.236220472441
District of Columbia 	Utah	207	1994.7241379310344
District of Columbia 	Vermont	86	6097.214285714285
District of Columbia 	Virginia	7085	16134.353383458649
District of Columbia 	Washington	443	1983.6153846153843
District of Columbia 	West Virginia	100	3266.1272727272726
District of Columbia 	Wisconsin	303	1351.6944444444443
District of Columbia 	Wyoming	0	2259.8695652173915
Florida	Alabama	13789	11758.723991980398
Florida	Alaska	2280	2397.9248584662896
Florida	Arizona	8361	1314.8487562189057
Florida	Arkansas	4025	2131.5269651741296
Florida	California	39052	1096.8710756562018
Florida	Colorado	13264	2376.242770522388
Florida	Connecticut	15743	2950.3619402985073
Florida	Delaware	1739	2931.8805970149256
Florida	District of Columbia 	1691	3086.6716417910447
Florida	Georgia	44469	15875.418004318031
Florida	Hawaii	3294	1872.4776119402984
Florida	Idaho	913	1430.5624151967436
Florida	Illinois	27109	2345.522973368452
Florida	Indiana	14939	2698.0918234912397
Florida	Iowa	4367	1413.6927483793154
Florida	Kansas	5297	1569.665671641791
Florida	Kentucky	9814	3116.7629353233833
Florida	Louisiana	6194	2903.6888992537315
Florida	Maine	3831	2965.096082089552
Florida	Maryland	17439	3061.4869402985073
Florida	Massachusetts	24002	2685.9189765458423
Florida	Michigan	26512	2367.9088293472396
Florida	Minnesota	8274	1241.4057299708354
Florida	Mississippi	4750	3634.455405897342
Florida	Missouri	7814	2001.0920181700192
Florida	Montana	1030	1734.5682302771856
Florida	Nebraska	1317	1249.144118119082
Florida	Nevada	5632	1449.1940298507463
Florida	New Hampshire	5012	2766.6850746268656
Florida	New Jersey	33226	2725.0312722103768
Florida	New Mexico	2416	1690.5106286748078
Florida	New York	71138	2977.57149735195
Florida	North Carolina	25290	3724.719253731343
Florida	North Dakota	1189	1670.71219374824
Florida	Ohio	18543	2588.8972184531885
Florida	Oklahoma	5488	1720.694708276798
Florida	Oregon	2310	1181.2205638474295
Florida	Pennsylvania	27770	2365.6299844063265
Florida	Rhode Island	3400	3025.340298507462
Florida	South Carolina	14066	3861.4688513951983
Florida	South Dakota	555	1318.1727725011308
Florida	Tennessee	15663	4193.43550667714
Florida	Texas	37781	1741.0887883417558
Florida	Utah	3733	1524.5697375193
Florida	Vermont	1739	2827.3454157782517
Florida	Virginia	28226	2830.199640893278
Florida	Washington	9009	1260.347493302717
Florida	West Virginia	4044	2827.2854816824965
Florida	Wisconsin	9232	1474.7885572139303
Florida	Wyoming	162	1908.6716417910447
Georgia	Alabama	17506	26354.96470477799
Georgia	Alaska	1028	1936.6128822381263
Georgia	Arizona	2706	1135.254926624738
Georgia	Arkansas	2912	2262.6451153039834
Georgia	California	20191	879.3529603122965
Georgia	Colorado	5154	1783.877358490566
Georgia	Connecticut	3380	1403.2806603773586
Georgia	Delaware	747	2276.781970649895
Georgia	District of Columbia 	1475	3049.0943396226417
Georgia	Florida	55250	15875.418004318031
Georgia	Hawaii	482	1424.0110062893082
Georgia	Idaho	2056	1114.1726700971983
Georgia	Illinois	9133	1617.25151066716
Georgia	Indiana	3422	1630.322532130161
Georgia	Iowa	1482	1104.8724350422465
Georgia	Kansas	3418	1477.8307876609765
Georgia	Kentucky	2671	2463.06572327044
Georgia	Louisiana	6264	3210.609178459119
Georgia	Maine	1141	1322.2158018867924
Georgia	Maryland	6244	2118.1687631027253
Georgia	Massachusetts	1739	1084.001796945193
Georgia	Michigan	3945	1320.25225430022
Georgia	Minnesota	2803	822.6537265958216
Georgia	Mississippi	3070	5102.061129007517
Georgia	Missouri	3814	1565.679628110473
Georgia	Montana	237	1541.3912848158132
Georgia	Nebraska	506	1182.9447487658078
Georgia	Nevada	2822	1342.3274139844616
Georgia	New Hampshire	670	1127.0716981132075
Georgia	New Jersey	6339	1506.1323749625635
Georgia	New Mexico	2936	1751.7916904898036
Georgia	New York	21998	1556.998681274092
Georgia	North Carolina	17310	6384.685345911949
Georgia	North Dakota	57	1192.571021715913
Georgia	Ohio	7590	1603.168453401944
Georgia	Oklahoma	2067	1587.3305562362166
Georgia	Oregon	1060	898.2216981132076
Georgia	Pennsylvania	8763	1426.2816108138552
Georgia	Rhode Island	1508	1134.1685534591195
Georgia	South Carolina	16635	15435.715203718895
Georgia	South Dakota	771	1082.7215551743852
Georgia	Tennessee	17332	6056.095597484276
Georgia	Texas	20923	1661.9706333878075
Georgia	Utah	2184	1158.913901539796
Georgia	Vermont	0	1230.8522012578617
Georgia	Virginia	6866	2903.062656641604
Georgia	Washington	6050	1027.2454442831802
Georgia	West Virginia	1146	2007.4026300743285
Georgia	Wisconsin	2649	941.7196016771488
Georgia	Wyoming	0	1605.7905386929178
Hawaii	Alabama	346	1161.6194029850749
Hawaii	Alaska	1135	14096.58620689655
Hawaii	Arizona	1932	4176.966666666667
Hawaii	Arkansas	152	1328.6233333333332
Hawaii	California	11200	7719.823275862069
Hawaii	Colorado	3359	6050.515625
Hawaii	Connecticut	702	1973.65625
Hawaii	Delaware	277	1886.0833333333333
Hawaii	District of Columbia 	773	4117.75
Hawaii	Florida	2061	1872.4776119402984
Hawaii	Georgia	1276	1424.0110062893082
Hawaii	Idaho	1042	4812.528409090909
Hawaii	Illinois	907	1298.575980392157
Hawaii	Indiana	0	1218.4891304347825
Hawaii	Iowa	0	1918.449494949495
Hawaii	Kansas	243	1472.790476190476
Hawaii	Kentucky	489	969.7583333333332
Hawaii	Louisiana	1150	1067.7578125
Hawaii	Maine	0	2201.265625
Hawaii	Maryland	2699	1989.1666666666663
Hawaii	Massachusetts	182	2983.642857142857
Hawaii	Michigan	463	1594.7138554216867
Hawaii	Minnesota	893	1791.2614942528735
Hawaii	Mississippi	0	945.155487804878
Hawaii	Missouri	996	1570.5869565217392
Hawaii	Montana	111	3957.299107142857
Hawaii	Nebraska	0	1473.1989247311828
Hawaii	Nevada	1393	6084.617647058823
Hawaii	New Hampshire	70	2218.2
Hawaii	New Jersey	59	1621.0
Hawaii	New Mexico	986	3100.8939393939395
Hawaii	New York	1776	1592.9193548387098
Hawaii	North Carolina	2816	1755.2875
Hawaii	North Dakota	0	1815.589622641509
Hawaii	Ohio	674	1202.5710227272727
Hawaii	Oklahoma	177	1561.4253246753246
Hawaii	Oregon	1443	8122.770833333334
Hawaii	Pennsylvania	498	1171.5223880597014
Hawaii	Rhode Island	59	2851.35
Hawaii	South Carolina	820	1407.4728260869565
Hawaii	South Dakota	99	1492.9204545454545
Hawaii	Tennessee	968	1408.002631578947
Hawaii	Texas	3742	1498.316929133858
Hawaii	Utah	1884	5862.75
Hawaii	Vermont	0	2892.732142857143
Hawaii	Virginia	3388	1826.2575187969924
Hawaii	Washington	4092	7354.5641025641025
Hawaii	West Virginia	0	983.8227272727272
Hawaii	Wisconsin	1149	1600.5104166666667
Hawaii	Wyoming	58	3507.608695652174
Idaho	Alabama	380	1028.7184531886023
Idaho	Alaska	1117	21929.047021943577
Idaho	Arizona	4026	7753.859090909091
Idaho	Arkansas	533	1634.5069696969697
Idaho	California	17338	7017.668887147336
Idaho	Colorado	1851	7829.746803977273
Idaho	Connecticut	436	928.1079545454544
Idaho	Delaware	0	1024.030303030303
Idaho	District of Columbia 	0	1404.3181818181818
Idaho	Florida	921	1430.5624151967436
Idaho	Georgia	78	1114.1726700971983
Idaho	Hawaii	1089	4812.528409090909
Idaho	Illinois	571	1334.7399732620322
Idaho	Indiana	830	1228.9266304347825
Idaho	Iowa	479	1991.624655647383
Idaho	Kansas	1229	3083.222077922078
Idaho	Kentucky	434	1141.9473484848486
Idaho	Louisiana	0	1123.6370738636365
Idaho	Maine	43	1669.1491477272727
Idaho	Maryland	111	1014.943181818182
Idaho	Massachusetts	260	1147.12012987013
Idaho	Michigan	404	1487.854600219058
Idaho	Minnesota	485	2261.028735632184
Idaho	Mississippi	136	968.60088691796
Idaho	Missouri	349	2242.931422924901
Idaho	Montana	2754	34026.33603896104
Idaho	Nebraska	324	5354.083822091887
Idaho	Nevada	2025	35976.94652406417
Idaho	New Hampshire	0	1759.0477272727271
Idaho	New Jersey	780	617.5541125541126
Idaho	New Mexico	1566	5071.4889807162535
Idaho	New York	77	1064.392595307918
Idaho	North Carolina	1187	1218.7020454545454
Idaho	North Dakota	256	8965.089193825042
Idaho	Ohio	703	1079.7489669421486
Idaho	Oklahoma	670	2626.587367178276
Idaho	Oregon	7458	37430.03977272727
Idaho	Pennsylvania	394	1150.4738805970148
Idaho	Rhode Island	113	957.1227272727272
Idaho	South Carolina	97	991.4698616600792
Idaho	South Dakota	388	4918.448691460056
Idaho	Tennessee	369	1464.9196172248803
Idaho	Texas	5526	2596.3245347172515
Idaho	Utah	5537	66849.90595611285
Idaho	Vermont	0	2685.060064935065
Idaho	Virginia	1290	1412.0333219412166
Idaho	Washington	14655	38472.08857808858
Idaho	West Virginia	395	1216.7380165289255
Idaho	Wisconsin	229	1784.530303030303
Idaho	Wyoming	1815	45238.783596837944
Illinois	Alabama	1375	1859.99634182031
Illinois	Alaska	30	1700.794793779581
Illinois	Arizona	4417	1680.8797385620917
